Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,% of Total,Theaters,Average_Theatre_Rev,Date,Distributor
221,Shazam!,53505326,140371656,86866330,38.10,"4,217",12688,"Apr 5, 2019",Warner Bros.
222,Green Lantern,53174303,116601172,63426869,45.60,"3,816",13934,"Jun 17, 2011",Warner Bros.
223,The Wolverine,53113752,132556852,79443100,40.10,"3,924",13535,"Jul 26, 2013",Twentieth Century Fox
224,The Lego Batman Movie,53003468,175750384,122746916,30.20,"4,088",12965,"Feb 10, 2017",Warner Bros.
225,Batman Forever,52784433,184031112,131246679,28.70,"2,842",18572,"Jun 16, 1995",Warner Bros.
226,Paranormal Activity 3,52568183,104028807,51460624,50.50,"3,321",15829,"Oct 21, 2011",Paramount Pictures
227,Superman Returns,52535096,200081192,147546096,26.30,"4,065",12923,"Jun 28, 2006",Warner Bros.
228,The Bourne Supremacy,52521865,176241941,123720076,29.80,"3,165",16594,"Jul 23, 2004",Universal Pictures
229,Insurgent,52263680,130179072,77915392,40.20,"3,875",13487,"Mar 20, 2015",Lionsgate
230,"I, Robot",52179887,144801023,92621136,36,"3,420",15257,"Jul 16, 2004",Twentieth Century Fox
231,Men in Black II,52148751,190418803,138270052,27.40,"3,557",14660,"Jul 3, 2002",Sony Pictures Releasing
232,Home,52107731,177397510,125289779,29.40,"3,708",14052,"Mar 27, 2015",Twentieth Century Fox
233,Van Helsing,51748040,120177084,68429044,43.10,"3,575",14474,"May 7, 2004",Universal Pictures
234,8 Mile,51240555,116750901,65510346,43.90,"2,470",20745,"Nov 8, 2002",Universal Pictures
