Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
236,Bohemian Rhapsody,51061119,216428042,165366923,23.60,4000,12765,02/11/2018,Twentieth Century Fox
237,Prometheus,51050101,126477084,75426983,40.40,3396,15032,08/06/2012,Twentieth Century Fox
238,Wanted,50927085,134508551,83581466,37.90,3175,16040,27/06/2008,Universal Pictures
239,Coco,50802605,209726015,158923410,24.20,3987,12742,22/11/2017,Walt Disney Studios Motion Pictures
240,Jurassic Park III,50771645,181171875,130400230,28,3434,14784,18/07/2001,Universal Pictures
241,The Village,50746142,114197520,63451378,44.40,3730,13604,30/07/2004,Walt Disney Studios Motion Pictures
242,Dunkirk,50513488,188045546,137532058,26.90,3720,13578,21/07/2017,Warner Bros.
243,2 Fast 2 Furious,50472480,127154901,76682421,39.70,3408,14810,06/06/2003,Universal Pictures
244,Jackass 3D,50353641,117229692,66876051,43,3081,16343,15/10/2010,Paramount Pictures
245,Mr. & Mrs. Smith,50342878,186336279,135993401,27,3424,14702,10/06/2005,Twentieth Century Fox
246,Rush Hour 3,50237000,140125968,89888968,35.80,3778,13297,10/08/2007,New Line Cinema
247,Independence Day,50228264,306169268,255941004,16.40,2882,17428,03/07/1996,Twentieth Century Fox
248,A Quiet Place,50203562,188024361,137820799,26.70,3508,14311,06/04/2018,Paramount Pictures
249,The Boss Baby,50198902,175003033,124804131,28.70,3773,13304,31/03/2017,Twentieth Century Fox
250,King Kong,50130145,218080025,167949880,23,3568,14049,14/12/2005,Universal Pictures
251,The Great Gatsby,50085185,144840419,94755234,34.60,3535,14168,10/05/2013,Warner Bros.
252,Scary Movie 3,49700000,110003217,60303217,45.20,3505,14179,24/10/2003,Dimension Films
253,Taken 2,49514769,139854287,90339518,35.40,3661,13524,05/10/2012,Twentieth Century Fox
254,How to Train Your Dragon 2,49451322,177002924,127551602,27.90,4253,11627,13/06/2014,Twentieth Century Fox
255,Wreck-It Ralph,49038712,189422889,140384177,25.90,3752,13070,02/11/2012,Walt Disney Studios Motion Pictures
256,Neighbors,49033915,150157400,101123485,32.70,3279,14953,09/05/2014,Universal Pictures
257,Alvin and the Chipmunks: The Squeakquel,48875415,219614612,170739197,22.30,3700,13209,23/12/2009,Twentieth Century Fox
258,Tangled,48767052,200821936,152054884,24.30,3603,13535,24/11/2010,Walt Disney Studios Motion Pictures
259,Batman Begins,48745440,205343774,156598334,23.70,3858,12634,15/06/2005,Warner Bros.
260,The Matrix Revolutions,48475154,139313948,90838794,34.80,3502,13842,05/11/2003,Warner Bros.
